 ,,,,,,,For Andrew ,,,,,,,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),"Reason For
Defect/Damaged",Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",
11/19/2020,VW303,Performance jogger,HCE,S,1,Out,TRUE,Damaged,,DIANE,995840,,1051,TRUE,
11/19/2020,V164,Ace polo,IND,L,1,Out,TRUE,Damaged,,DIANE,995840,,1051,TRUE,
11/19/2020,VW170,L/S Coast Tee,CCL,S,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/19/2020,VW235,restore Crew,BIS,XS,1,In,TRUE,Lightspeed Return,,DIANE5,1141,1853,1056,TRUE,
11/19/2020,V330,Banks short,BCM,L,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/19/2020,V366,"Banks short 5""",BKL,S,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/19/2020,VW303,Performance jogger,HTG,S,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/19/2020,V366,"Banks short 5""",CMO,M,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/19/2020,VW303,Performance jogger,BLK,M,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/20/2020,VW303,Peformance Jogger,HCA,M,1,In,TRUE,Lightspeed Return,,CAM,1141,1853,1056,TRUE,
11/20/2020,V302,Kore Short,CCL,XL,1,In,TRUE,Lightspeed Return,,CAM,1141,1853,1056,TRUE,
11/20/2020,V126,Strato Tech Tee,OXB,XL,1,In,TRUE,Lightspeed Return,,CAM,1141,1853,1056,TRUE,
11/20/2020,VW418,Daily Jogger,BLK,XL,1,In,TRUE,Lightspeed Return,,CAM,1141,1853,1056,TRUE,
11/20/2020,VW905,Hello Sunshine Tank,Mauve (MVE),XL,1,In,TRUE,Lightspeed Return,,CAM,1141,1853,1056,TRUE,
11/20/2020,V412,Ripstop Climber Pant,CCL,L,1,In,TRUE,Lightspeed Return,,CAM,1141,1853,1056,TRUE,
11/22/2020,VW303,performance jogger,HTG/NAT,XS,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/22/2020,VW303,Performance jogger,HTG/NAT,XS,1,Out,TRUE,Damaged,,DIANE,995840,,1051,TRUE,
11/22/2020,VW323,Daily legging,BLK,M,1,Out,TRUE,Damaged,,DIANE,995840,,1051,TRUE,
11/22/2020,VW323,Daily legging,BLK,XS,1,Out,TRUE,Damaged,,DIANE,995840,,1051,TRUE,
11/20/2020,VW167,L/S Lux Tee,HCE,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1140,1852,1055,TRUE,
11/20/2020,VW136,Elevation Bra,HCE,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1140,1852,1055,TRUE,
11/20/2020,VW329,Pace high rise legging,CER,XS,1,In,TRUE,Lightspeed Giftcard,,CAM,1140,1852,1055,TRUE,
11/22/2020,VW323,Daily legging,BLK,M,1,In,TRUE,Lightspeed Giftcard,,DIANE,1140,1852,1055,TRUE,
11/22/2020,VW323,Daily legging,BLK,XS,1,In,TRUE,Lightspeed Giftcard,,DIANE,1140,1852,1055,TRUE,
11/22/2020, VW136,Elevation bra,HCE,M,1,In,TRUE,Lightspeed Giftcard,,DIANE,1140,1852,1055,TRUE,
11/22/2020,VW329,Pace high risse legging,CER,XS,1,In,TRUE,Lightspeed Giftcard,,DIANE,1140,1852,1055,TRUE,
11/22/2020,VW167,L/S Lux Tee,HCE,S,1,In,TRUE,Lightspeed Giftcard,,DIANE,1140,1852,1055,TRUE,
11/22/2020, VW329,Halo performancfe short,BLK,S,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/22/2020,VW323,Daily legging,BCM,S,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/22/2020,VW304,Clementine short ,IWC,S,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
11/22/2020,VW359,Rythm short,GRY,S,1,In,TRUE,Lightspeed Return,,DIANE,1141,1853,1056,TRUE,
